s,p1,o1,p2,o2,p3,o3
http://www.iiitd.ac.in/meetupgroups#hasCityID,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.iiitd.ac.in/meetupgroups#hasCityID,http://www.w3.org/2000/01/rdf-schema#domain,http://www.iiitd.ac.in/meetupgroups#City,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://www.iiitd.ac.in/meetupgroups#hasCityID,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.iiitd.ac.in/meetupgroups#hasCityID,http://www.w3.org/2000/01/rdf-schema#domain,http://www.iiitd.ac.in/meetupgroups#City,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Resource
http://www.iiitd.ac.in/meetupgroups#hasCityName,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://www.w3.org/2000/01/rdf-schema#domain,http://www.iiitd.ac.in/meetupgroups#City,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.iiitd.ac.in/meetupgroups#hasCityName
http://www.iiitd.ac.in/meetupgroups#hasCityName,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.iiitd.ac.in/meetupgroups#hasCityName,http://www.w3.org/2000/01/rdf-schema#domain,http://www.iiitd.ac.in/meetupgroups#City
http://www.iiitd.ac.in/meetupgroups#hasCityName,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Resource,http://www.w3.org/2000/01/rdf-schema#domain,http://www.iiitd.ac.in/meetupgroups#City,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.iiitd.ac.in/meetupgroups#hasCityName
http://www.iiitd.ac.in/meetupgroups#hasCityName,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Resource,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.iiitd.ac.in/meetupgroups#hasCityName,http://www.w3.org/2000/01/rdf-schema#domain,http://www.iiitd.ac.in/meetupgroups#City
http://www.iiitd.ac.in/meetupgroups#hasCityName,http://www.w3.org/2000/01/rdf-schema#domain,http://www.iiitd.ac.in/meetupgroups#City,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.iiitd.ac.in/meetupgroups#hasCityName
http://www.iiitd.ac.in/meetupgroups#hasCityName,http://www.w3.org/2000/01/rdf-schema#domain,http://www.iiitd.ac.in/meetupgroups#City,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Resource,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.iiitd.ac.in/meetupgroups#hasCityName
http://www.iiitd.ac.in/meetupgroups#hasCityName,http://www.w3.org/2000/01/rdf-schema#domain,http://www.iiitd.ac.in/meetupgroups#City,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.iiitd.ac.in/meetupgroups#hasCityName,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://www.iiitd.ac.in/meetupgroups#hasCityName,http://www.w3.org/2000/01/rdf-schema#domain,http://www.iiitd.ac.in/meetupgroups#City,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.iiitd.ac.in/meetupgroups#hasCityName,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Resource
http://www.iiitd.ac.in/meetupgroups#hasCityName,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.iiitd.ac.in/meetupgroups#hasCityName,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://www.w3.org/2000/01/rdf-schema#domain,http://www.iiitd.ac.in/meetupgroups#City
http://www.iiitd.ac.in/meetupgroups#hasCityName,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.iiitd.ac.in/meetupgroups#hasCityName,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Resource,http://www.w3.org/2000/01/rdf-schema#domain,http://www.iiitd.ac.in/meetupgroups#City
http://www.iiitd.ac.in/meetupgroups#hasCityName,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.iiitd.ac.in/meetupgroups#hasCityName,http://www.w3.org/2000/01/rdf-schema#domain,http://www.iiitd.ac.in/meetupgroups#City,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://www.iiitd.ac.in/meetupgroups#hasCityName,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.iiitd.ac.in/meetupgroups#hasCityName,http://www.w3.org/2000/01/rdf-schema#domain,http://www.iiitd.ac.in/meetupgroups#City,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Resource
http://www.iiitd.ac.in/meetupgroups#hasCountry,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://www.w3.org/2000/01/rdf-schema#domain,http://www.iiitd.ac.in/meetupgroups#City,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.iiitd.ac.in/meetupgroups#hasCountry
http://www.iiitd.ac.in/meetupgroups#hasCountry,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.iiitd.ac.in/meetupgroups#hasCountry,http://www.w3.org/2000/01/rdf-schema#domain,http://www.iiitd.ac.in/meetupgroups#City
http://www.iiitd.ac.in/meetupgroups#hasCountry,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Resource,http://www.w3.org/2000/01/rdf-schema#domain,http://www.iiitd.ac.in/meetupgroups#City,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.iiitd.ac.in/meetupgroups#hasCountry
http://www.iiitd.ac.in/meetupgroups#hasCountry,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Resource,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.iiitd.ac.in/meetupgroups#hasCountry,http://www.w3.org/2000/01/rdf-schema#domain,http://www.iiitd.ac.in/meetupgroups#City
