 "s1" , "p1" , "o1" , "p2" , "o2" , "p3" , "o3" , "p4" , "so1" , "p5" , "o4" , "p6" , "o5" , "p7" , "o6" ,
 "http://www.iiitd.ac.in/meetupgroups#Group_1" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.iiitd.ac.in/meetupgroups#Group" , "http://www.iiitd.ac.in/meetupgroups#hasGroupID" , "6388" , "http://www.iiitd.ac.in/meetupgroups#createdOn" , "21-11-2002 16:50" , "http://www.iiitd.ac.in/meetupgroups#hasCity" , "http://www.iiitd.ac.in/meetupgroups#City_1" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.iiitd.ac.in/meetupgroups#City" , "http://www.iiitd.ac.in/meetupgroups#hasCityID" , "10001" , "http://www.iiitd.ac.in/meetupgroups#hasCityName" , "New York" ,
 "http://www.iiitd.ac.in/meetupgroups#Group_1" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.iiitd.ac.in/meetupgroups#Group" , "http://www.iiitd.ac.in/meetupgroups#hasGroupID" , "6388" , "http://www.iiitd.ac.in/meetupgroups#createdOn" , "21-11-2002 16:50" , "http://www.iiitd.ac.in/meetupgroups#hasCity" , "http://www.iiitd.ac.in/meetupgroups#City_1" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.iiitd.ac.in/meetupgroups#City" , "http://www.iiitd.ac.in/meetupgroups#hasCityID" , "10001" , "http://www.iiitd.ac.in/meetupgroups#hasCountry" , "US" ,
 "http://www.iiitd.ac.in/meetupgroups#Group_1" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.iiitd.ac.in/meetupgroups#Group" , "http://www.iiitd.ac.in/meetupgroups#hasGroupID" , "6388" , "http://www.iiitd.ac.in/meetupgroups#createdOn" , "21-11-2002 16:50" , "http://www.iiitd.ac.in/meetupgroups#hasCity" , "http://www.iiitd.ac.in/meetupgroups#City_1" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.iiitd.ac.in/meetupgroups#City" , "http://www.iiitd.ac.in/meetupgroups#hasCityID" , "10001" , "http://www.iiitd.ac.in/meetupgroups#hasState" , "NY" ,
 "http://www.iiitd.ac.in/meetupgroups#Group_1" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.iiitd.ac.in/meetupgroups#Group" , "http://www.iiitd.ac.in/meetupgroups#hasGroupID" , "6388" , "http://www.iiitd.ac.in/meetupgroups#createdOn" , "21-11-2002 16:50" , "http://www.iiitd.ac.in/meetupgroups#hasCity" , "http://www.iiitd.ac.in/meetupgroups#City_1" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.iiitd.ac.in/meetupgroups#City" , "http://www.iiitd.ac.in/meetupgroups#hasCityName" , "New York" , "http://www.iiitd.ac.in/meetupgroups#hasCityID" , "10001" ,
 "http://www.iiitd.ac.in/meetupgroups#Group_1" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.iiitd.ac.in/meetupgroups#Group" , "http://www.iiitd.ac.in/meetupgroups#hasGroupID" , "6388" , "http://www.iiitd.ac.in/meetupgroups#createdOn" , "21-11-2002 16:50" , "http://www.iiitd.ac.in/meetupgroups#hasCity" , "http://www.iiitd.ac.in/meetupgroups#City_1" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.iiitd.ac.in/meetupgroups#City" , "http://www.iiitd.ac.in/meetupgroups#hasCityName" , "New York" , "http://www.iiitd.ac.in/meetupgroups#hasCountry" , "US" ,
 "http://www.iiitd.ac.in/meetupgroups#Group_1" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.iiitd.ac.in/meetupgroups#Group" , "http://www.iiitd.ac.in/meetupgroups#hasGroupID" , "6388" , "http://www.iiitd.ac.in/meetupgroups#createdOn" , "21-11-2002 16:50" , "http://www.iiitd.ac.in/meetupgroups#hasCity" , "http://www.iiitd.ac.in/meetupgroups#City_1" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.iiitd.ac.in/meetupgroups#City" , "http://www.iiitd.ac.in/meetupgroups#hasCityName" , "New York" , "http://www.iiitd.ac.in/meetupgroups#hasState" , "NY" ,
 "http://www.iiitd.ac.in/meetupgroups#Group_1" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.iiitd.ac.in/meetupgroups#Group" , "http://www.iiitd.ac.in/meetupgroups#hasGroupID" , "6388" , "http://www.iiitd.ac.in/meetupgroups#createdOn" , "21-11-2002 16:50" , "http://www.iiitd.ac.in/meetupgroups#hasCity" , "http://www.iiitd.ac.in/meetupgroups#City_1" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.iiitd.ac.in/meetupgroups#City" , "http://www.iiitd.ac.in/meetupgroups#hasCountry" , "US" , "http://www.iiitd.ac.in/meetupgroups#hasCityID" , "10001" ,
 "http://www.iiitd.ac.in/meetupgroups#Group_1" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.iiitd.ac.in/meetupgroups#Group" , "http://www.iiitd.ac.in/meetupgroups#hasGroupID" , "6388" , "http://www.iiitd.ac.in/meetupgroups#createdOn" , "21-11-2002 16:50" , "http://www.iiitd.ac.in/meetupgroups#hasCity" , "http://www.iiitd.ac.in/meetupgroups#City_1" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.iiitd.ac.in/meetupgroups#City" , "http://www.iiitd.ac.in/meetupgroups#hasCountry" , "US" , "http://www.iiitd.ac.in/meetupgroups#hasCityName" , "New York" ,
 "http://www.iiitd.ac.in/meetupgroups#Group_1" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.iiitd.ac.in/meetupgroups#Group" , "http://www.iiitd.ac.in/meetupgroups#hasGroupID" , "6388" , "http://www.iiitd.ac.in/meetupgroups#createdOn" , "21-11-2002 16:50" , "http://www.iiitd.ac.in/meetupgroups#hasCity" , "http://www.iiitd.ac.in/meetupgroups#City_1" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.iiitd.ac.in/meetupgroups#City" , "http://www.iiitd.ac.in/meetupgroups#hasCountry" , "US" , "http://www.iiitd.ac.in/meetupgroups#hasState" , "NY" ,
 "http://www.iiitd.ac.in/meetupgroups#Group_1" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.iiitd.ac.in/meetupgroups#Group" , "http://www.iiitd.ac.in/meetupgroups#hasGroupID" , "6388" , "http://www.iiitd.ac.in/meetupgroups#createdOn" , "21-11-2002 16:50" , "http://www.iiitd.ac.in/meetupgroups#hasCity" , "http://www.iiitd.ac.in/meetupgroups#City_1" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.iiitd.ac.in/meetupgroups#City" , "http://www.iiitd.ac.in/meetupgroups#hasState" , "NY" , "http://www.iiitd.ac.in/meetupgroups#hasCityID" , "10001" ,
 "http://www.iiitd.ac.in/meetupgroups#Group_1" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.iiitd.ac.in/meetupgroups#Group" , "http://www.iiitd.ac.in/meetupgroups#hasGroupID" , "6388" , "http://www.iiitd.ac.in/meetupgroups#createdOn" , "21-11-2002 16:50" , "http://www.iiitd.ac.in/meetupgroups#hasCity" , "http://www.iiitd.ac.in/meetupgroups#City_1" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.iiitd.ac.in/meetupgroups#City" , "http://www.iiitd.ac.in/meetupgroups#hasState" , "NY" , "http://www.iiitd.ac.in/meetupgroups#hasCityName" , "New York" ,
 "http://www.iiitd.ac.in/meetupgroups#Group_1" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.iiitd.ac.in/meetupgroups#Group" , "http://www.iiitd.ac.in/meetupgroups#hasGroupID" , "6388" , "http://www.iiitd.ac.in/meetupgroups#createdOn" , "21-11-2002 16:50" , "http://www.iiitd.ac.in/meetupgroups#hasCity" , "http://www.iiitd.ac.in/meetupgroups#City_1" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.iiitd.ac.in/meetupgroups#City" , "http://www.iiitd.ac.in/meetupgroups#hasState" , "NY" , "http://www.iiitd.ac.in/meetupgroups#hasCountry" , "US" ,
 "http://www.iiitd.ac.in/meetupgroups#Group_1" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.iiitd.ac.in/meetupgroups#Group" , "http://www.iiitd.ac.in/meetupgroups#hasGroupID" , "6388" , "http://www.iiitd.ac.in/meetupgroups#createdOn" , "21-11-2002 16:50" , "http://www.iiitd.ac.in/meetupgroups#hasCity" , "http://www.iiitd.ac.in/meetupgroups#City_1" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.w3.org/2000/01/rdf-schema#Resource" , "http://www.iiitd.ac.in/meetupgroups#hasCityID" , "10001" , "http://www.iiitd.ac.in/meetupgroups#hasCityName" , "New York" ,
 "http://www.iiitd.ac.in/meetupgroups#Group_1" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.iiitd.ac.in/meetupgroups#Group" , "http://www.iiitd.ac.in/meetupgroups#hasGroupID" , "6388" , "http://www.iiitd.ac.in/meetupgroups#createdOn" , "21-11-2002 16:50" , "http://www.iiitd.ac.in/meetupgroups#hasCity" , "http://www.iiitd.ac.in/meetupgroups#City_1" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.w3.org/2000/01/rdf-schema#Resource" , "http://www.iiitd.ac.in/meetupgroups#hasCityID" , "10001" , "http://www.iiitd.ac.in/meetupgroups#hasCountry" , "US" ,
